,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor on Ice,Home on Ice,Season,gameId,Visitor Goalie On Ice,Home Goalie On Ice,Visitor,Home,Visitor_Score,Home_Score,Against
24667,6,3,19:09,EV,MIN,12 E.STAAL(13),20 R.SUTER(23),64 M.GRANLUND(25),"['9', '11', '12', '20', '46', '64']","['2', '7', '11', '19', '60', '64']",2018,20575,False,True,MIN,CHI,2,4,CHI
24964,7,3,18:31,EV,FLA,16 A.BARKOV(16),3 K.YANDLE(27),5 A.EKBLAD(8),"['3', '5', '11', '16', '63', '68']","['4', '23', '35', '53', '55', '71']",2018,20623,False,True,FLA,BUF,3,4,BUF
25004,6,3,18:44,EV,NSH,92 R.JOHANSEN(8),19 C.JARNKROK(6),,"['14', '19', '33', '51', '76', '92']","['3', '14', '35', '55', '59', '71']",2018,20630,False,True,NSH,DET,3,3,DET
25028,1,1,6:52,EV,VGK,88 N.SCHMIDT(4),77 B.HUNT(5),92 T.NOSEK(6),"['41', '75', '77', '81', '88', '92']","['14', '23', '25', '26', '36', '45']",2018,20635,False,True,VGK,ANA,1,0,ANA
25172,6,3,16:33,EV,PHI,17 W.SIMMONDS(13),93 J.VORACEK(23),14 S.COUTURIER(15),"['14', '17', '25', '28', '53', '93']","['1', '8', '13', '44', '74', '92']",2018,20661,False,True,PHI,WSH,2,4,WSH
25173,7,3,19:53,EV,PHI,28 C.GIROUX(14),14 S.COUTURIER(16),93 J.VORACEK(24),"['9', '14', '25', '28', '93']","['1', '20', '43', '44', '74']",2018,20661,False,True,PHI,WSH,3,4,WSH
25197,10,3,16:24,EV,COL,92 G.LANDESKOG(27),29 N.MACKINNON(40),4 T.BARRIE(27),"['4', '13', '29', '37', '92', '96']","['5', '18', '28', '29', '37', '70']",2018,20665,False,True,COL,WPG,4,6,WPG
25227,7,3,19:22,EV,COL,96 M.RANTANEN(20),92 G.LANDESKOG(24),,"['4', '13', '29', '37', '92', '96']","['5', '13', '23', '24', '28', '33']",2018,20669,False,True,COL,CGY,3,4,CGY
25274,5,3,17:22,EV,WPG,55 M.SCHEIFELE(24),18 B.LITTLE(16),81 K.CONNOR(16),"['18', '26', '29', '44', '55', '81']","['12', '18', '22', '25', '29', '40']",2018,20678,False,True,WPG,MIN,2,3,MIN
25318,7,3,19:40,EV,FLA,63 E.DADONOV(18),72 F.VATRANO(7),16 A.BARKOV(27),"['5', '16', '19', '63', '68', '72']","['5', '11', '19', '24', '33', '67']",2018,20685,False,True,FLA,CGY,3,4,CGY
